id,location,Review Text,Summary,Rating
1,India," Gave this to my dad for a gag gift after directing \Nunsense,\ he got a reall kick out of it!,","More like funchuck,",3
2,India," I hope a lot of people hear this cd We need more strong and positive vibes like this Great vocals, fresh tunes, cross-cultural happiness Her blues is from the gut The pop sounds are catchy and mature,","Inspiring, ",5
3,India," I'm reading a lot of reviews saying that this is the best 'game soundtrack' and I figured that I'd write a review to disagree a bit This in my opinino is Yasunori Mitsuda's ultimate masterpiece The music is timeless and I'm been listening to it for years now and its beauty simply refuses to fadeThe price tag on this is pretty staggering I must say, but if you are going to buy any cd for this much money, this is the only one that I feel would be worth every penny,","The best soundtrack ever to anything, ",5
4,India," The music of Yasunori Misuda is without question my close second below the great Nobuo UematsuChrono Cross OST is a wonderful creation filled with rich orchestra and synthesized sounds While ambiance is one of the music's major factors, yet at times it's very uplifting and vigorous Some of my favourite tracks include","\Scars Left by Time, The Girl who Stole the Stars, and Another World\,",4
5,India," Probably the greatest soundtrack in history! Usually it's better to have played the game first but this is so enjoyable anyway! I worked so hard getting this soundtrack and after spending [money] to get it it was really worth every penny!! Get this OST! it's amazing! The first few tracks will have you dancing around with delight (especially Scars Left by Time)!! BUY IT NOW!!,","Too good to be true, ",5
6,India," There's a reason this CD is so expensive, even the version that's not an importSome of the best music ever I could listen to every track every minute of every day That's about all i can say,"," There's a reason for the price, ",5
7,India," This is a self-published book, and if you want to know why--read a few paragraphs! Those 5 star reviews must have been written by Ms Haddon's family and friends--or perhaps, by herself! I can't imagine anyone reading the whole thing--I spent an evening with the book and a friend and we were in hysterics reading bits and pieces of it to one another It is most definitely bad enough to be entered into some kind of a \worst book\ contest I can't believe Amazon even sells this kind of thing Maybe I can offer them my 8th grade term paper on \To Kill a Mockingbird\--a book I am quite sure Ms Haddon never heard of Anyway, unless you are in a mood to send a book to someone as a joke---stay far, far away from this one!,"," Buyer beware, ",1
8,India," I was a dissapointed to see errors on the back cover, but since I paid for the book I read it anyway I have to say I love it I couldn't put it down I read the whole book in two hours I say buy it I say read it It is sad, but it gives an interesting point of view on church today We spend too much time looking at the faults of others I also enjoyed belovedSincerly,Jaylynn R,"," Errors, but great story, ",4
9,India," A complete waste of time Typographical errors, poor grammar, and a totally pathetic plot add up to absolutely nothing I'm embarrassed for this author and very disappointed I actually paid for this book,","The Worst!, ",1
10,India," I guess you have to be a romance novel lover for this one, and not a very discerning one All others beware! It is absolute drivel I figured I was in trouble when a typo is prominently featured on the back cover, but the first page of the book removed all doubt Wait - maybe I'm missing the point A quick re-read of the beginning now makes it clear This has to be an intentional churning of over-heated prose for satiric purposes Phew, so glad I didn't waste $1095 after all,"," Oh please, ",1
11,India," I feel I have to write to keep others from wasting their money This book seems to have been written by a 7th grader with poor grammatical skills for her age! As another reviewer points out, there is a misspelling on the cover, and I believe there is at least one per chapter For example, it was mentioned twice that she had a \lean\ on her house I was so distracted by the poor writing and weak plot, that I decided to read with a pencil in hand to mark all of the horrible grammar and spelling Please don't waste your money I too, believe that the good reviews must have been written by the author's relatives I will not put much faith in the reviews from now on!,"," Awful beyond belief!, ",1
